Change Component Footprint: Designator=JP6 Old Footprint=DG128-3 New Footprint=5.08A-3PIN
Change Component Footprint: Designator=J1 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J2 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J3 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J4 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J5 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J6 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J7 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J8 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J9 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J10 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J11 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J12 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
Change Component Footprint: Designator=J13 Old Footprint=HEADER_2P_3.5mm New Footprint=5.08A-2PIN
